year,p10,p50,p90,index_p10,index_p50,index_p90,overall_90_50,overall_50_10,resid_90_50,resid_50_10,resid_half_90_10
1979,10.365568394321178,19.82721994051834,34.30955452474405,100.0,100.0,100.0,0.548368134879555,0.6485661558403195,0.46643637418604406,0.5170556647490154,0.4917460194675297
1980,10.176011616178153,19.6412203744926,33.75428953859461,98.17128428531835,99.0618979030659,98.3816024607694,0.541477068492175,0.657597290065953,0.467382486722157,0.5299159842400346,0.49864923548109585
1981,9.837255894331703,19.498096068266275,34.48356478234441,94.90319797340864,98.34004024144869,100.5071772572123,0.5701660041323322,0.684140023633319,0.4751955570321711,0.5441954335584089,0.50969549529529
1982,9.80548651175518,19.73042475835772,35.27496837851049,94.59670843643423,99.51180658483133,102.81383383474183,0.5810117529545638,0.699219771197837,0.48145877842101137,0.5618545130703807,0.521656645745696
1983,9.52078705172961,19.458197306120685,35.76261357046201,91.85012041351841,98.13880798465583,104.2351440170114,0.6086345974523009,0.7147909177176279,0.48664635985311044,0.5667416101999158,0.5266939850265131
1984,9.460936842990497,19.524998218647028,35.80635920939559,91.27272603954563,98.4757231584762,104.36264680607275,0.6064299046881239,0.7245241943022451,0.481071124708088,0.5634072114245706,0.5222391680663293
1985,9.83284169124877,19.79939295262216,36.041393540481245,94.8606127246793,99.85965259890362,105.04768726882826,0.5990168202156303,0.6999233023443945,0.47227302811471483,0.570034992626126,0.5211540103704204
1986,9.71100062150404,19.575600970949807,36.646861074192785,93.68517241007501,98.73094175419757,106.81240716128525,0.6270438363192428,0.7010246147359025,0.46052196740699314,0.5828710261384121,0.5216964967727027
1987,9.472241109728992,19.270050487532277,37.26221559119732,91.38178196690498,97.18987606604672,108.60594405072735,0.6594277239709787,0.7101865696153036,0.4583129408088764,0.5807632873901186,0.5195381140994975
1988,9.198616528074178,19.337789196105113,36.07243344636029,88.74203688737107,97.531521081213,105.13815742009956,0.6234677862074918,0.7430080756195432,0.46044381329938194,0.5799158479555415,0.5201798306274618
1989,9.569967072088062,18.98351885408577,35.45973547037339,92.32457601969044,95.74473330621402,103.3523633913691,0.6248266666737798,0.6849414092843134,0.4987905270926519,0.571687825942405,0.5352391765175284
1990,9.316822794030458,19.136048988285413,37.68907351881941,89.88241107101005,96.5140299330595,109.85008124089181,0.6777962875874617,0.7197522691223321,0.5146790025306748,0.5657830196227325,0.5402310110767037
1991,9.615846915717102,18.720319783906245,36.23267172474764,92.76719375065998,94.41726999583,105.60519431581845,0.6603516922485992,0.6661970954575929,0.5081426287972537,0.5558014333695823,0.531972031083418
1992,9.365634365634365,19.011708043536814,38.20553146197716,90.35331213255387,95.8869074967239,111.35537022033711,0.6979253055961854,0.7080079306796181,0.5155626872242522,0.5737966101452914,0.5446796486847718
1993,9.222398130927314,18.93127774077573,38.20118270861666,88.9714657228044,95.48125151972674,111.34269516984246,0.7020510149564076,0.7191803564190273,0.5071140150120795,0.5743660355530537,0.5407400252825666
1994,9.124642618164122,18.979086651418772,38.56555576114806,88.02838658768677,95.72237917547712,112.40471144367258,0.7090218699147295,0.7323589368227075,0.5330047985127652,0.5815074383635752,0.5572561184381701
1995,9.25705618178033,19.201802021244667,38.916701526171614,89.30582317947801,96.8456600514347,113.42817493624084,0.7064193737251809,0.7296180387229687,0.5186638739749521,0.5872041177196247,0.5529339958472883
1996,9.349785605739882,19.222318855833905,39.13094797443365,90.20041400587549,96.94913817217372,114.05262620420329,0.710841617880321,0.7207186311607239,0.5241745449655042,0.5797271230657435,0.5519508340156238
1997,9.558198810535258,19.635792238347577,39.65487808347797,92.21104378387739,99.03452071069445,115.57969385722824,0.702859933611176,0.7199547351170819,0.5197457799743339,0.5741142445236475,0.5469300122489906
1998,9.873756964525002,20.26893415068222,41.32920858681624,95.25533563537513,102.22781716997655,120.45976451547808,0.7124801032222865,0.7192089506267334,0.5404662435467956,0.5745760070520923,0.557521125299444
1999,10.340691309683024,20.828415513003876,42.94765196597171,99.76000269650642,105.04960138380025,125.17694432609979,0.7236637930917471,0.7002314601845763,0.5426332416398005,0.5606156258013824,0.5516244337205914
2000,10.203387524658188,20.891998812140642,43.884389647716134,98.43538855281838,105.37028829466077,127.90719744281935,0.7421924142372007,0.7166464783024846,0.5560054178219846,0.5671901334665861,0.5615977756442854
2001,10.598272481585502,21.31861067106108,44.907382693642234,102.24497179905553,107.52193567740163,130.88885389419738,0.7450217748282002,0.6988894172507374,0.5581809938017073,0.573997403004688,0.5660891984031977
2002,10.559243958132598,21.642295607906565,45.96043423997539,101.8684509758049,109.15446377673447,133.95812005320187,0.753131371102973,0.7176478492069793,0.5659125514492159,0.5791390241610145,0.5725257878051152
2003,10.533304393345507,21.644744425517747,46.398927669227206,101.61820358173723,109.16681456327201,135.23617054183637,0.7625136751168098,0.7202205888175626,0.5675436181530537,0.5718692159305393,0.5697064170417965
2004,10.522228207087473,21.513897175815433,46.9097250482759,101.51134802074262,108.50687711316627,136.72496101470688,0.7795259044724636,0.7152091149513087,0.5660316665143054,0.567886805145232,0.5669592358297687
2005,10.533245556287032,21.197850922347865,46.536279303456986,101.61763596155244,106.9128752590702,135.63650110902788,0.7863324035176347,0.6993633063260094,0.5701819603640841,0.5716075177198697,0.570894739041977
2006,10.584250635055039,21.21190695043484,45.92625319418241,102.10969849809362,106.98376784072886,133.8584946098918,0.7724742459538843,0.6951955655248079,0.5720535927378426,0.5704679134187944,0.5712607530783185
2007,10.515199735721003,21.427240374431168,46.60560459104545,101.44354207803791,108.06981734561319,135.8385593652447,0.7770577768420348,0.711841222964082,0.5776790577940688,0.5730133449128609,0.5753462013534649
2008,10.853284119512828,21.706850428363413,47.6680560048286,104.70515177401026,109.48005062476719,138.93522275391362,0.7866335894510055,0.6931601806574461,0.5724970456794243,0.5772550418984687,0.5748760437889464
2009,11.086614591973744,22.42702138284832,49.70264252963075,106.95616651420286,113.11228427449427,144.86531002256297,0.7957915577135042,0.7045280555561471,0.5666789115794149,0.590991301835233,0.5788351067073239
2010,10.796146606134425,22.13883261935598,49.41540159242767,104.1539276519476,111.65878366090898,144.02810609735337,0.8029289500581331,0.7181439239355285,0.5771389852333844,0.5882897146841175,0.5827143499587509
2011,10.621262132749438,21.547312511447007,48.61868902406085,102.46676041970206,108.67540974523381,141.70597577708872,0.813756905479794,0.7073932456833139,0.5859470630875998,0.58940122907132,0.5876741460794599
2012,10.538185113759708,21.50818637664731,49.74428960425696,101.66528947445948,108.47807428964761,144.98669625215152,0.8384620508258824,0.7134282864254233,0.5827700127829682,0.5934461950496346,0.5881081039163014
2013,10.423833051889842,21.50853514116295,49.95203263858585,100.56209804761488,108.479833308394,145.59219240972786,0.8426133580652926,0.7243550157156968,0.5951798068728,0.5854204418768502,0.5903001243748252
2014,10.310660191572067,21.56411730879816,49.368222705988664,99.47028276057497,108.76016594101701,143.8905966277828,0.8282762545449618,0.7378523675253428,0.5881344130248831,0.5886968463810867,0.5884156297029849
2015,10.357311385571013,22.15562727319297,49.65324038213271,99.9203419587228,111.74348869715396,144.72132054737926,0.8069721356646826,0.7603988328077396,0.59999704588519,0.5853881738281227,0.5926926098566563
2016,10.84506520431966,22.450583204922804,50.00100926688102,104.62586123363168,113.23112000711423,145.7349416496221,0.8007265987636396,0.7276064351522429,0.5843752934139985,0.5827963299007928,0.5835858116573956
2017,11.272206246305222,22.859419365141804,50.48967302392247,108.74662939352896,115.29311438376162,147.15922058244539,0.7924055623496615,0.7070231867913352,0.5856047392704485,0.5818890342710246,0.5837468867707365
2018,11.716690425511139,23.056881326231814,51.52927993764007,113.03471242281495,116.28902788894489,150.18930047744325,0.8041859246013741,0.6769499066193241,0.5800017006833514,0.5794681927426216,0.5797349467129865
2019,12.028830701425177,23.48835648614187,52.96229368791311,116.04603089605028,118.46520367760553,154.36601967453905,0.8130753908178638,0.6691985029791572,0.5745546379881522,0.5810939206719924,0.5778242793300723
2020,12.500154308488442,24.755803947332723,54.8660973267016,120.59304259028099,124.85766548008311,159.91492191229756,0.7958356582837127,0.683318975534585,0.5679583731598747,0.5766120775994167,0.5722852253796458
